SMILES,DrugBank,Name,CAS,Predict_RF_ECFP_reg,Predict_RF_MACCS_reg,Predict_GCN_reg,Predict_GAT_reg,Predict_MPNN_reg,Predict_AttentiveFP_reg,Avg. Prediction,DrugBank,CTD,Pubmed
CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](O)[C@@H]1C,DB15213,25-desacetylrifapentine,79039-56-8,6.045378598,6.922849828,6.6008115,6.6451244,4.9050345,6.400543,6.253290304,¿¹¾úÒ©,,
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,DB08903,Bedaquiline,843663-66-1,6.706487843,6.706487843,6.0553393,6.4897203,6.426929,5.068536,6.242250048,ÄÍ¶àÒ©½áºË²¡,,36912629
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(N2CCOCC2)=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)CC(=O)OCC2CCCN(C)C2)[C@@H]1C)C4=O,DB04220,CGP 4832,113303-81-4,5.939602729,5.377578017,6.3058424,6.5883474,6.5812902,6.083127,6.145964624,,,
CCCCCCCCCCCCCCCC(=O)NCC(O)COP(=O)(S)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1NP(=O)(S)OCC1OC(n2cnc3c(N)ncnc32)CC1NP(=O)(S)OCC1OC(n2cnc3c(=O)[nH]c(N)nc32)CC1NP(=O)(S)OCC1OC(n2cnc3c(=O)[nH]c(N)nc32)CC1NP(=O)(S)OCC1OC(n2cnc3c(=O)[nH]c(N)nc32)CC1NP(=O)(S)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1NP(=O)(S)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1NP(=O)(S)OCC1OC(n2cnc3c(N)ncnc32)CC1NP(=O)(S)OCC1OC(n2cnc3c(=O)[nH]c(N)nc32)CC1NP(=O)(S)OCC1OC(n2cnc3c(N)ncnc32)CC1NP(=O)(S)OCC1OC(n2ccc(N)nc2=O)CC1NP(=O)(S)OCC1OC(n2cnc3c(N)ncnc32)CC1NP(=O)(S)OCC1OC(n2cnc3c(N)ncnc32)CC1N,DB14909,Imetelstat,868169-64-6,5.662198473,5.729606902,7.1186438,6.936841,5.043826,6.3232474,6.135727262,Éñ¾­Ä¸Ï¸°ûÁö,,23516479
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,DB00218,Moxifloxacin,151096-09-2,6.252677401,6.252677401,5.9464903,6.281759,6.1297727,5.467738,6.0551858,¿¹ÉúËØ£»·ÎÑ×£»ÑÛ²¿Ï¸¾ú¸ÐÈ¾,·ÎÏËÎ¬»¯,29343421
CCCC[C@H](CN(O)C=O)C(=O)N1CCC[C@H]1c1nc2ccccc2o1,DB08310,"N-[(2R)-2-{[(2S)-2-(1,3-benzoxazol-2-yl)pyrrolidin-1-yl]carbonyl}hexyl]-N-hydroxyformamide",,6.282051681,6.263184845,5.5793133,6.0809174,6.6407514,5.0344563,5.980112488,½áºË²¡°Ðµã,,
CC(C)=CCC/C(C)=C/CNCCNC1C2CC3CC(C2)CC1C3,DB05186,SQ-109,502487-67-4,6.071901004,6.101912874,6.1406417,6.0011616,5.8994546,5.357466,5.928756296,·Î½áºË,,
NNC(=O)c1ccncc1,DB00951,Isoniazid,54-85-3,5.847265391,5.847265391,5.764497,6.1560388,6.1098056,5.8445005,5.92822878,½áºË²¡,·ÎÏËÎ¬»¯,25698209
CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNCc4cnn[nH]4)cc3)c(F)c2)C(=O)O1,DB12339,Radezolid,869884-78-6,6.036023115,6.465155212,5.9918637,6.00583,5.70087,5.3582,5.926323671,¿¹ÉúËØ£»Å§Ö×£»Á´Çò¾ú¸ÐÈ¾£»ÆÏÌÑÇò¾ú¸ÐÈ¾,,
CC(=O)NC[C@H]1CN(c2ccc(N3CCSCC3)c(F)c2)C(=O)O1,DB11905,Sutezolid,168828-58-8,6.330821882,6.330821882,6.0667677,6.2292256,5.583606,4.940652,5.913649177,½áºË²¡,,
Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,DB00290,Bleomycin,11056-06-7,5.372047524,5.524428595,6.615735,5.642418,5.4762454,6.6778865,5.884793503,¿¹ÉúËØ£»»¯ÁÆÒ©£»Ö×Áö,·ÎÏËÎ¬»¯,28836192
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,DB00970,Dactinomycin,50-76-0,6.072474056,6.075617111,5.685988,5.91,5.2764297,6.254185,5.879115645,¿¹ÉúËØ£»Ö×Áö,·ÎÏËÎ¬»¯,µ¼ÖÂ·ÎÏËÎ¬»¯
N#Cc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,DB11453,Pradofloxacin,195532-12-8,6.131468382,5.593680743,5.8888564,5.956023,6.009336,5.6544576,5.872303688,¿¹ÉúËØ£»ÊÞÀàÏ¸¾ú¸ÐÈ¾,,34886851
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)[O-].[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)c1c(O)cccc1[C@@]2(C)O.[Na+],DB09550,Tetracycline phosphate complex,1336-20-5,4.917849869,4.855280557,4.7078032,7.879422,4.2947617,8.507114,5.860371888,¿¹¾úÒ©,,35080463?
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,DB09335,Alatrofloxacin,146961-76-4,5.257332031,5.739502336,5.974177,6.261166,5.760864,6.133162,5.854367228,¿¹ÉúËØ,·ÎÏËÎ¬»¯,
C/C(=C\c1csc(C)n1)[C@@H]1C[C@H]2[C@@H](CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1)N2CCOC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@H](NC(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1)C(=O)O)C(=O)O,DB12266,Epofolate,958646-17-8,5.076577335,5.972204695,5.7594166,6.0568924,5.271455,6.9620895,5.849772588,¿¹ÉúËØ£»Ö×Áö,,
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)NCCCO/N=C(\C(=O)N[C@@H]4C(=O)N5C(C(=O)[O-])=C(C[n+]6ccccc6)CS[C@H]45)c4nc(N)sc4Cl)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,DB05735,Cefilavancin,722454-12-8,5.187616036,5.780763783,5.265377,6.0040426,5.1735387,7.6631465,5.845747437,¿¹ÉúËØ,,
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](NC(=O)c3cc(=O)[nH]c(=O)[nH]3)C[C@@H](C(=O)NCCNC(=O)COCCOCC(=O)Nc3cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)C[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@H]2OC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,DB12778,Rivipansel,927881-99-0,5.405943551,5.541363428,5.223596,6.625103,5.877772,6.3437405,5.83625308,Æ¶Ñª£»Á­×´Ï¸°û²¡,,
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,DB00479,Amikacin,37517-28-5,5.990976861,5.990976861,5.7876477,5.6457677,5.989202,5.599139,5.833951687,¿¹ÉúËØ£»Äñ·ÖÖ¦¸Ë¾úÒýÆðµÄ·Î²¿¼²²¡,·ÎÏËÎ¬»¯,24673698
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,DB13540,Isepamicin,58152-03-7,5.945016161,5.61213851,5.827919,5.8500214,6.154562,5.5538425,5.823916595,,,
N#Cc1c(N2C[C@@H]3NCCO[C@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,DB09047,Finafloxacin,209342-40-5,5.409386408,5.966857068,5.934375,5.891592,5.974151,5.752813,5.821529079,,,
[H]OC[C@H](NC(=O)[C@H](Cc1cn([H])c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](Cc1ccc(O[H])cc1)C(=O)N[C@H](CCCCNC(=O)CCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,DB12755,Zoptarelin doxorubicin,139570-93-7,4.939707846,5.816822184,5.714692,6.142907,5.616287,6.6945605,5.820829422,,,
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,DB07620,"2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",,4.990112686,4.935804441,5.8476152,6.320998,5.7962627,6.9228168,5.802268304,,,
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,DB04729,Gentamicin C1a,26098-04-4,6.091006805,6.091006805,5.6414847,5.4540725,6.1496954,5.313573,5.790139868,,,
O=C(NCc1ccc(OC(F)(F)F)c(F)c1)[C@H]1CN(c2nc3nc(C4CC4)ncc3s2)CCN1S(=O)(=O)c1ccc(C(F)(F)F)cc1,DB13095,JTK-853,954389-09-4,5.116175117,5.922884896,6.419401,5.688469,5.2855654,6.195667,5.771360402,,,
Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCCNCCCCNCCCN)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1,DB12992,Bleomycin A6,37293-17-7,5.178667271,5.746759621,5.9457555,5.673351,5.0447235,6.9719205,5.760196232,,,
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2cc(F)c3c(c2)O[C@@H](c2cnc(C4CC4)s2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,DB11713,Ruzasvir,1613081-64-3,5.14768225,5.500709926,6.0241756,6.0023394,5.7805324,6.0747986,5.755039696,,,
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,DB06696,Arbekacin,51025-85-5,5.968951036,5.665670824,5.8132577,5.5776057,5.9712677,5.5329895,5.754957077,,,
N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,DB06771,Besifloxacin,141388-76-3,5.688339464,5.558143399,5.7088695,6.0948544,5.772041,5.699237,5.753580794,,,
CC[C@@]1(OC(=O)C(C)ON=C2c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3-c3c2cc([N+](=O)[O-])cc3[N+](=O)[O-])C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,DB17385,Lipotecan,1432468-79-5,5.158304797,5.440731788,5.8187475,6.9346004,4.8919554,6.273139,5.752913148,,,
COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C,DB16243,TBA-7371,1494675-86-3,5.877764512,5.877764512,5.7837124,5.7595434,6.015469,5.1467953,5.743508187,,,
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,DB12615,Plazomicin,1154757-24-0,6.010112621,5.517704289,5.5905123,5.6472845,6.2048903,5.489073,5.743262835,,,
CNC(=O)c1c(I)c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I,DB13755,Iocarmic acid,10397-75-8,5.340052989,4.887681066,5.646203,6.188227,6.0241194,6.3435807,5.738310692,,,
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,DB01044,Gatifloxacin,112811-59-3,5.80298919,5.80298919,5.328389,6.0023603,6.1002893,5.3189516,5.725994763,,,
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,DB14025,Clinafloxacin,105956-97-6,5.8295601,5.8295601,5.4801126,5.802554,5.945107,5.442513,5.7215678,,,
CN1CCC[C@H]1CCNC(=O)c1cn2c3c(c(N4CCC(c5cnccn5)C4)c(F)cc3c1=O)Oc1cc3ccccc3cc1-2,DB06638,Quarfloxin,865311-47-3,5.402081213,5.921338939,5.7420316,5.9901757,5.4243097,5.812122,5.715343192,,,
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OCCCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)[C@@H](O)[C@H]1O,DB04651,BIOTINOL-5-AMP,,5.63620362,5.630171291,5.499077,5.465915,6.5883574,5.427987,5.707951885,,,
CCCCCCCCCCNCCN[C@@]1(C)C[C@H](O[C@H]2[C@H](Oc3c4cc5cc3Oc3ccc(cc3Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]5C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c5cc(O)c(CNCP(=O)(O)O)c(O)c5-c5cc3ccc5O)[C@H](O)c3ccc(c(Cl)c3)O4)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H]1O,DB06402,Telavancin,372151-71-8,5.167852487,5.458614427,5.3733864,6.4232197,5.1021266,6.707976,5.705529269,,,
N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2.N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2.O.O.O,DB13261,Sitafloxacin,163253-35-8,5.141958667,5.619797956,6.2278857,6.7769938,5.1296334,5.3135915,5.701643504,,,
CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,DB00798,Gentamicin,1403-66-3,5.413797069,5.413797069,5.4250836,5.407564,6.174604,6.3351874,5.695005523,,,
C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,DB16098,Atogepant,1374248-81-3,5.493732816,5.100584575,5.4821606,6.2071657,5.724537,6.0843506,5.682088549,,,
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@@H](NC(=O)CCCCCCCCCCCCCCCCC(=O)O)C(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C,DB13928,Semaglutide,910463-68-2,4.940820924,5.479286365,5.0279975,5.760895,5.4506946,7.3939366,5.675605165,,,
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2cc([C@H]3CC[C@H](c4cc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]c5cc4F)N3c3cc(F)c(N4CCC(c5ccc(F)cc5)CC4)c(F)c3)c(F)cc2[nH]1)[C@@H](C)OC,DB13878,Pibrentasvir,1353900-92-1,5.142298955,5.023419535,6.220047,6.1832266,5.5713525,5.8131313,5.658912648,,,
CC[C@H](C)[C@H](N=C(O)[C@@H](N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](C)N=C(O)[C@@H](N=C(O)CN=C(O)CN=C(O)CN=C(O)[C@H](CC(C)C)N=C(O)[C@@H](N)C(C)C)C(C)C)C(C)C)C(=O)N1CCC[C@H]1C(O)=N[C@@H](C)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](CO)C(O)=N[C@@H](CC(C)C)C(O)=N[C@H](C(=O)N1CCC[C@H]1C(O)=N[C@@H](C)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(=O)O)C(=O)O)[C@@H](C)O,DB06651,DiaPep 277,179822-83-4,4.569613245,5.411646436,5.164351,7.067014,5.6213503,6.0892267,5.653866947,,,
C=C1NC(=O)c2nc(oc2C)C(=C)NC(=O)[C@H](C(C)(C)O)NC(=O)C(=C)NC(=O)c2coc(n2)/C(=C/C)NC(=O)[C@H]([C@H](C)O)NC(=O)c2csc(n2)-c2ccc(C(=O)NC(=C)C(=O)N[C@@H](C)C(N)=O)nc2-c2coc(n2)C(=C)NC1=O,DB15657,Ala-geninthiocin,,5.752780548,6.367428543,4.9255004,5.3574324,5.6853595,5.8272,5.652616899,,,
CCCCCS(=O)(=O)NC(=O)c1ccc2nc(C)n(Cc3ccc(Cl)cc3Cl)c2c1,DB12557,FK-614,193012-35-0,5.185677563,5.203852909,6.5490947,6.43532,4.979636,5.5423036,5.649314129,,,
NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4cccc(SC(F)(F)F)c4)nn23)[C@H](O)[C@@H]1O,DB15013,TAK-243,1450833-55-2,5.019894487,4.868751353,6.3949475,5.51716,6.779604,5.3133574,5.648952457,,,
